"Id","Hash","System","Subsystem","File","Name","Genre","Developer","Year","Players"
"40282","0xea88bbb8","arcade","fbneo","/roms/arcade/fbneo/Horizontal Games/bloodwar.zip","Blood Warrior","?","?","19XX","2"
"40283","0x960470bd","arcade","fbneo","/roms/arcade/fbneo/Horizontal Games/bloxeed.zip","Bloxeed","?","?","19XX","2"
"40284","0xd2e61a19","arcade","fbneo","/roms/arcade/fbneo/Horizontal Games/blstroid.zip","Blasteroids","?","?","19XX","2"
"40299","0xdc59e66e","arcade","fbneo","/roms/arcade/fbneo/Horizontal Games/bmaster.zip","Blade Master","?","?","19XX","2"
"40320","0x5b1807f7","arcade","fbneo","/roms/arcade/fbneo/Horizontal Games/bnzabros.zip","Bonanza Bros","?","?","19XX","2"
"40321","0xeb21d86","arcade","fbneo","/roms/arcade/fbneo/Horizontal Games/bodyslam.zip","Body Slam","?","?","19XX","2"
"40322","0xda40ce42","arcade","fbneo","/roms/arcade/fbneo/Horizontal Games/bogeyman.zip","Bogey Manor","?","?","19XX","2"
"40326","0x76be90f1","arcade","fbneo","/roms/arcade/fbneo/Horizontal Games/bombkick.zip","Bomb Kick","?","?","19XX","2"
"40330","0x82f73b07","arcade","fbneo","/roms/arcade/fbneo/Horizontal Games/bonkadv.zip","B.C. Kid - Arcade Version","?","?","19XX","2"
"40332","0x6231e289","arcade","fbneo","/roms/arcade/fbneo/Horizontal Games/bonzeadv.zip","Bonze Adventure","?","?","19XX","2"
"40333","0x554164cb","arcade","fbneo","/roms/arcade/fbneo/Horizontal Games/boogwing.zip","Boogie Wings","?","?","19XX","2"
"40339","0x792ada2e","arcade","fbneo","/roms/arcade/fbneo/Horizontal Games/borench.zip","Borench","?","?","19XX","2"
"40345","0xa68c1967","arcade","fbneo","/roms/arcade/fbneo/Horizontal Games/bottom9.zip","Bottom of the Ninth","?","?","19XX","2"
"150946","0xa3b0ac63","arcade","fbneo","/roms/arcade/fbneo/Horizontal Games/bouldash.zip","Boulder Dash/Boulder Dash Part 2","?","?","19XX","1"
"40347","0x25c52e9e","arcade","fbneo","/roms/arcade/fbneo/Horizontal Games/bounty.zip","The Bounty","?","?","19XX","2"
"40354","0xe64abc32","arcade","fbneo","/roms/arcade/fbneo/Horizontal Games/boxyboy.zip","Boxy Boy","?","?","19XX","1"
"57817","0x66f01246","arcade","fbneo","/roms/arcade/fbneo/Horizontal Games/bradley.zip","Bradley Trainer","?","?","19XX","1"
"40355","0xaee9a59e","arcade","fbneo","/roms/arcade/fbneo/Horizontal Games/brain.zip","Brain","?","?","19XX","2"
"40367","0xef2765bd","arcade","fbneo","/roms/arcade/fbneo/Horizontal Games/brival.zip","Burning Rival","?","?","19XX","2"
"40369","0x77653d19","arcade","fbneo","/roms/arcade/fbneo/Horizontal Games/brkthru.zip","Break Thru","?","?","19XX","2"
"40375","0x8c194aac","arcade","fbneo","/roms/arcade/fbneo/Horizontal Games/bshark.zip","Battle Shark","?","?","19XX","1"
"40385","0x5e3ef2a5","arcade","fbneo","/roms/arcade/fbneo/Horizontal Games/btlkroad.zip","Battle K-Road","?","?","19XX","2"
"40388","0x3e4d38f","arcade","fbneo","/roms/arcade/fbneo/Horizontal Games/bubblem.zip","Bubble Memories: The Story Of Bubble Bobble III","?","?","19XX","2"
"40389","0xf9ebeeec","arcade","fbneo","/roms/arcade/fbneo/Horizontal Games/bubbles.zip","Bubbles","?","?","19XX","2"
"40391","0x75a4618d","arcade","fbneo","/roms/arcade/fbneo/Horizontal Games/bubl2000.zip","Bubble 2000","?","?","19XX","2"
"40392","0xb2319424","arcade","fbneo","/roms/arcade/fbneo/Horizontal Games/bublbob2.zip","Bubble Bobble II","?","?","1994","2"
"40393","0x58cc81f","arcade","fbneo","/roms/arcade/fbneo/Horizontal Games/bublbobl.zip","Bubble Bobble","?","?","1986","2"
"149634","0x983d5616","arcade","fbneo","/roms/arcade/fbneo/Horizontal Games/buccanrs.zip","Buccaneers","?","?","19XX","2"
"40396","0x4f0e3a5b","arcade","fbneo","/roms/arcade/fbneo/Horizontal Games/buckrog.zip","Buck Rogers: Planet of Zoom","?","?","19XX","1"
"40402","0xc68326b","arcade","fbneo","/roms/arcade/fbneo/Horizontal Games/bullet.zip","Bullet","?","?","19XX","3"
"40403","0x7c15549","arcade","fbneo","/roms/arcade/fbneo/Horizontal Games/bullfgt.zip","Bullfight","?","?","19XX","2"
"40407","0xcbd36780","arcade","fbneo","/roms/arcade/fbneo/Horizontal Games/burglarx.zip","Burglar X","?","?","19XX","2"
"40409","0x29850173","arcade","fbneo","/roms/arcade/fbneo/Horizontal Games/burnforc.zip","Burning Force","?","?","1989","2"
"40412","0x14ee6eb0","arcade","fbneo","/roms/arcade/fbneo/Horizontal Games/butasan.zip","Butasan - Pig's And Bomber's","?","?","19XX","2"
"40417","0x959b1f0b","arcade","fbneo","/roms/arcade/fbneo/Horizontal Games/bygone.zip","Bygone","?","?","19XX","2"
"40422","0xf5b42122","arcade","fbneo","/roms/arcade/fbneo/Horizontal Games/cabal.zip","Cabal","?","?","1988","2"
"40424","0x6952ad02","arcade","fbneo","/roms/arcade/fbneo/Horizontal Games/cachat.zip","Cachat","?","?","19XX","2"
